 >TARCYLCAP  cylinder with end-caps: Length= 25.0000 Diameter= 10.0000
      2552 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -13.00000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    263  13   3  -3 1 1 1
    264  14   3  -3 1 1 1
    265  15   3  -3 1 1 1
    266  16   3  -3 1 1 1
    267  17   3  -3 1 1 1
    268  18   3  -3 1 1 1
    269  19   3  -3 1 1 1
    270  20   3  -3 1 1 1
    271  21   3  -3 1 1 1
    272  22   3  -3 1 1 1
    273  23   3  -3 1 1 1
    274  24   3  -3 1 1 1
    275  25   3  -3 1 1 1
    276   1   4  -3 1 1 1
    277   2   4  -3 1 1 1
    278   3   4  -3 1 1 1
    279   4   4  -3 1 1 1
    280   5   4  -3 1 1 1
    281   6   4  -3 1 1 1
    282   7   4  -3 1 1 1
    283   8   4  -3 1 1 1
    284   9   4  -3 1 1 1
    285  10   4  -3 1 1 1
    286  11   4  -3 1 1 1
    287  12   4  -3 1 1 1
    288  13   4  -3 1 1 1
    289  14   4  -3 1 1 1
    290  15   4  -3 1 1 1
    291  16   4  -3 1 1 1
    292  17   4  -3 1 1 1
    293  18   4  -3 1 1 1
    294  19   4  -3 1 1 1
    295  20   4  -3 1 1 1
    296  21   4  -3 1 1 1
    297  22   4  -3 1 1 1
    298  23   4  -3 1 1 1
    299  24   4  -3 1 1 1
    300  25   4  -3 1 1 1
    301   1  -3  -2 1 1 1
    302   2  -3  -2 1 1 1
    303   3  -3  -2 1 1 1
    304   4  -3  -2 1 1 1
    305   5  -3  -2 1 1 1
    306   6  -3  -2 1 1 1
    307   7  -3  -2 1 1 1
    308   8  -3  -2 1 1 1
    309   9  -3  -2 1 1 1
    310  10  -3  -2 1 1 1
    311  11  -3  -2 1 1 1
    312  12  -3  -2 1 1 1
    313  13  -3  -2 1 1 1
    314  14  -3  -2 1 1 1
    315  15  -3  -2 1 1 1
    316  16  -3  -2 1 1 1
    317  17  -3  -2 1 1 1
    318  18  -3  -2 1 1 1
    319  19  -3  -2 1 1 1
    320  20  -3  -2 1 1 1
    321  21  -3  -2 1 1 1
    322  22  -3  -2 1 1 1
    323  23  -3  -2 1 1 1
    324  24  -3  -2 1 1 1
    325  25  -3  -2 1 1 1
    326   1  -2  -2 1 1 1
    327   2  -2  -2 1 1 1
    328   3  -2  -2 1 1 1
    329   4  -2  -2 1 1 1
    330   5  -2  -2 1 1 1
    331   6  -2  -2 1 1 1
    332   7  -2  -2 1 1 1
    333   8  -2  -2 1 1 1
    334   9  -2  -2 1 1 1
    335  10  -2  -2 1 1 1
    336  11  -2  -2 1 1 1
